nwname,fname,smile,CHA score,CCA score,mws,logps,hbds,hbas,psas,robs,qeds,chiral_centes,RO5scores,RO5scoresnum
518ak,P156227906.sdf,CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)C[NH2+]C,0.424,0.25,927.1,-6.09,15,23,364.2,26,0.02,8,--++++,4
519ak,P156227900.sdf,c1ccc(cc1)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](Cc4c[nH]c5c4cccc5)C(=O)[O-])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@H](Cc6cnc[nH]6)[NH3+],0.455,0.23,907.1,-1.23,14,18,301.2,24,0.03,6,--++++,4
520ak,P156227842.sdf,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)O)O)O,0.364,0.21,504.4,-7.73,11,16,276.5,11,0.12,14,--++++,4
521ak,P156227810.sdf,CC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.121,0.22,921,-2.52,9,21,340,26,0.03,5,--++++,4
522ak,P156227809.sdf,CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.182,0.22,921,-2.52,9,21,340,26,0.03,5,--++++,4
523ak,P156227808.sdf,CC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.485,0.21,921,-2.52,9,21,340,26,0.03,5,--++++,4
524ak,P156227807.sdf,CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.394,0.23,921,-2.52,9,21,340,26,0.03,5,--++++,4
525ak,P156227804.sdf,CCCCCCCCCCCCCCCCCCSCCO[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O,0,0.25,654.9,2.62,7,11,178.5,25,0.07,10,--++++,4
526ak,P156226219.sdf,Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N/N=C/3\C(=O)NC(=O)N=C3[O-])C[C@H](COc4ccc(cc4)OC)O,0.303,0.2,499.4,-2.35,4,16,217.4,8,0.24,1,---+-+,2
527ak,P156223762.sdf,COC(=O)c1cc(c(nc1C/C(=N\NC(=S)N)/C(=O)Nc2ccc(c(c2)Cl)Cl)C/C(=N/NC(=S)N)/C(=N/c3ccc(c(c3)Cl)Cl)/[O-])C(=O)OC,0.455,0.23,800.5,3.46,7,15,230.8,12,0.06,0,--++++,4
