nwname,fname,smile,CHA score,CCA score,mws,logps,hbds,hbas,psas,robs,qeds,chiral_centes,RO5scores,RO5scoresnum
825aq,P147807860.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@H]([C@@H]([C@@H]([C@@H](O5)C)O)O)O)NC(=O)C,0.485,0.25,687.6,-3.9,9,18,276.5,9,0.11,15,--++-+,3
826aq,P147804108.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCCNCCO[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,0.636,0.2,780,2.66,6,13,165.2,21,0.08,5,--++++,4
827aq,P147804107.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCCNCCO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.758,0.15,780,2.66,6,13,165.2,21,0.08,5,--++++,4
828aq,P147804106.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCCNCCO[C@@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.182,0.22,780,2.66,6,13,165.2,21,0.08,5,--++++,4
829aq,P147804097.sdf,CC[C@H]([C@](C)([C@@H]([C@@H](C)C(=O)[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)[O-])O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)O)O)O)O,0.394,0.23,750.9,-0.03,6,15,228,19,0.1,18,--++++,4
830aq,P147804056.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,0.727,0.21,781,1.63,7,13,169.8,21,0.08,5,--++++,4
831aq,P147804055.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,0.273,0.19,781,1.63,7,13,169.8,21,0.08,5,--++++,4
832aq,P147804054.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.273,0.23,781,1.63,7,13,169.8,21,0.08,5,--++++,4
833aq,P147804053.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.061,0.19,781,1.63,7,13,169.8,21,0.08,5,--++++,4
834aq,P147804021.sdf,CC[C@H]([C@](C)([C@@H]([C@@H](C)C(=O)[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)[O-])O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)[NH+](C)C)O)O)O)O)O,0.545,0.23,752,-1.45,7,15,229.2,19,0.08,18,--++++,4
835aq,P147800709.sdf,COc1c(ncc(n1)CCCNC(=O)CCCC[C@H]2[C@@H]3[C@H](CS2)NC(=O)N3)NS(=O)(=O)c4ccc(cc4)NC(=O)/C=C/c5ccc(s5)[N+](=O)[O-],0.394,0.07,744.9,3.68,5,16,223.6,17,0.04,3,--++++,4
836aq,P147800466.sdf,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NC(=O)c3ccc(cc3)C(=O)c4ccccc4,0.121,0.1,831.1,3.51,6,14,208.7,25,0.04,4,--++++,4
837aq,P147800410.sdf,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NC(=O)c3c(c(c(c(c3F)F)N=[N+]=[N-])F)F,0.364,0.12,840,3.78,6,16,240.4,24,0.01,4,--++++,4
838aq,P147555897.sdf,CC(C)[C@@H](C(=O)OC[C@@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)NC=O)O)O)O)O)NC=O,0.303,0.2,436.5,-2.94,6,12,191.7,15,0.11,6,--++++,4
839aq,P147555896.sdf,CC(C)[C@H](C(=O)OC[C@@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)NC=O)O)O)O)O)NC=O,0.667,0.21,436.5,-2.94,6,12,191.7,15,0.11,6,--++++,4
840aq,P147555894.sdf,CC(C)[C@H](C(=O)OC[C@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)NC=O)O)O)O)O)NC=O,0.182,0.21,436.5,-2.94,6,12,191.7,15,0.11,6,--++++,4
841aq,P147147361.sdf,CCCN(CC(C)(C)C[NH3+])c1c(c(nn1C)C)C(=O)N,0.697,0,282.4,0.31,5,6,91.8,7,0.75,0,--+---,1
842aq,P147031209.sdf,CCCN[C@]1(CC[C@@H](C1)C[C@@H](C(=O)N)[NH2+]C)C(=O)OCC,0.758,0,300.4,-0.47,5,6,98,9,0.5,3,--+--+,2
843aq,P147031200.sdf,CCOC(=O)[C@@]1(CC[C@H](C1)C[C@@H](C(=O)N)[NH2+]C)NC(C)C,0.394,0,300.4,-0.48,5,6,98,8,0.53,3,--+---,1
844aq,P147031177.sdf,CC(C)N[C@]1(CC[C@H](C1)C[C@@H](C(=O)N)[NH2+]C)C(=O)OC,0.03,0,286.4,-0.87,5,6,98,7,0.53,3,--+---,1
845aq,P146882936.sdf,C[NH2+][C@@H](C[C@@H]1CCC[C@@](C1)(C(=O)OC)NC)C(=O)N,0.152,0,272.4,-1.25,5,6,98,6,0.53,3,--+---,1
846aq,P146747106.sdf,CC(C)(C[NH2+]Cc1cc(cs1)C(=O)N)NS(=O)(=O)C,0.394,0,306.4,-0.76,5,6,105.9,7,0.62,0,--+---,1
847aq,P14635884.sdf,CCCn1c(=O)[nH]nc1SCC(=O)c2c(n(c(=O)[nH]c2=O)C3CC3)N,0.848,0.06,366.4,-0.28,4,10,148.6,7,0.45,0,---+-+,2
848aq,P146300123.sdf,COCCOCCNC(=O)NCC1CCC(CC1)C(=O)[O-],0.303,0.01,301.4,-0.5,2,7,99.7,9,0.56,0,------,0
849aq,P14615407.sdf,CCOC(=O)c1c(c(sc1NC(=O)C[NH+]2CCC(CC2)C(=O)N)C(=O)OCCOC)C,0.03,0.11,456.5,-0.24,4,10,138.5,10,0.33,0,---+++,3
850aq,P145956638.sdf,C1CN(CCN1)C(=O)CNC(=O)NCCOCC(=O)[O-],0.273,0.05,287.3,-3.52,3,9,122.8,7,0.42,0,-----+,1
851ar,P14497375.sdf,COCCNC(=S)NNC(=O)C(=O)NNC(=S)NCCOC,0.03,0.12,352.4,-2.73,6,10,124.8,6,0.13,0,--++-+,3
852ar,P14378419.sdf,c1ccc(c(c1)C(=O)NCCOC(=O)Nc2cc[nH+]cc2)C(=O)NCCOC(=O)Nc3ccncc3,0.636,0.04,493.5,1.85,5,12,161.9,10,0.31,0,--++++,4
853ar,P143507381.sdf,C1C[C@H]2CO[C@H](CN2C1)C[NH2+]CCCC/C(=N\O)/N,0.758,0.02,271.4,-0.67,5,6,87.7,7,0.19,2,--+--+,2
854ar,P143457234.sdf,C[C@@H](CN1CC2(CCC1=O)CCN(CC2)C(=O)Cc3cc(=O)[nH]c(n3)N)O,0.242,0,377.4,-0.49,4,9,132.6,4,0.65,1,------,0
855ar,P143191974.sdf,C[C@@](CC(=O)[O-])(CNC(=O)NCCNS(=O)(=O)C)O,0.152,0.02,296.3,-3.27,4,9,147.7,8,0.35,1,-----+,1
856ar,P14306407.sdf,C[C@H]1CCCC[C@]12C(=O)N(C(=O)N2)CC(=O)N(CCOC)c3c(n(c(=O)[nH]c3=O)CC(C)C)N,0.545,0.17,478.6,0.25,4,12,159.8,8,0.45,2,---+-+,2
857ar,P142965950.sdf,Cc1cc(=O)[nH]c(n1)NCCNC(=O)[C@H]2CC(=O)Nc3c2cc(cc3)OC,0.03,0.04,371.4,0.74,4,9,125.2,6,0.56,1,------,0
858ar,P142879001.sdf,CC[C@@H](CSCCCn1cnc2c1ncnc2N)[NH3+],0.03,0,281.4,0.55,5,6,97.3,7,0.72,1,--+---,1
859ar,P142231272.sdf,CS(=O)(=O)[C@@H]1CSCCN1S(=O)(=O)c2cnc(nc2)NN,0.212,0.02,353.5,-1.13,3,9,135.4,4,0.51,1,------,0
860ar,P141806950.sdf,c1nc(c2c(n1)n(cn2)[C@@H](C=O)O[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])C=O)N,0.242,0,502.1,-2.86,3,18,281.3,12,0.22,5,---+++,3
861ar,P141702308.sdf,C(CNCCNCCNCCNC(=O)NCCNCCNCC[NH2+]CCN)[NH3+],0.545,0.06,406.6,-6,14,11,171.6,22,0.08,0,--++++,4
862ar,P14166659.sdf,Cc1c(c(sc1C(=O)N)NC(=O)COC(=O)CN2C(=O)C(NC2=O)(C)C)C(=O)OCCOC,0.152,0.09,484.5,-0.23,4,13,183.4,10,0.23,0,---+++,3
863ar,P141654788.sdf,CCOC(=O)CCCNC(=O)N[C@H]1COC[C@]1(C)C(=O)[O-],0.091,0,301.3,-1.22,2,8,116.8,7,0.45,2,-----+,1
864ar,P14138034.sdf,Cc1cccc(n1)NC(=O)Cn2cc(c(c2)S(=O)(=O)NC)S(=O)(=O)NC,0.485,0.12,401.5,-0.35,3,10,139.3,7,0.58,0,---+--,1
865ar,P141267708.sdf,CCN[C@](CC[C@H](C(=O)N)[NH2+]C)(C1CC1)C(=O)OCC,0.303,0,286.4,-0.86,5,6,98,10,0.45,2,--+-++,3
866ar,P141259875.sdf,CCN[C@@](C)(C[C@H](C)C[C@@H](C(=O)N)[NH2+]C)C(=O)OC,0.485,0,274.4,-1.01,5,6,98,9,0.47,3,--+--+,2
867ar,P141259861.sdf,CCN[C@@](C)(CCCC[C@@H](C(=O)N)[NH2+]C)C(=O)OC,0.424,0,274.4,-0.86,5,6,98,10,0.36,2,--+-++,3
868ar,P141178482.sdf,CCNS(=O)(=O)c1ccc(cc1)N[C@@H]2[C@H](C[C@@H]2OCC)[NH3+],0.758,0.026,314.4,0.18,5,6,95.1,7,0.67,3,--+---,1
869ar,P141164029.sdf,COCCNCc1cn(nn1)Cc2nc(nc(n2)N)N,0.03,0,279.3,-1.59,5,10,142.7,7,0.51,0,--++--,2
870ar,P141137897.sdf,C[C@](CNC[C@@H](Cn1cc(cn1)[N+](=O)[O-])O)(CO)O,0.273,0.08,274.3,-1.51,4,9,133.7,8,0.33,2,-----+,1
871ar,P141135254.sdf,Cc1c(c(n(n1)C[C@@H](C[NH2+]C[C@@](C)(CO)O)O)C)[N+](=O)[O-],0.212,0.11,303.3,-1.92,5,9,138.3,8,0.33,2,--+--+,2
872ar,P141129876.sdf,Cc1c(c(n(n1)C[C@H](C[NH2+]C[C@H](CO)O)O)C)[N+](=O)[O-],0.394,0.11,289.3,-2.31,5,9,138.3,8,0.31,2,--+--+,2
873ar,P141124509.sdf,C[C@](CNC(=O)NCC(C)(C)NS(=O)(=O)C)(C(=O)[O-])O,0.424,0.03,310.4,-2.89,4,9,147.7,7,0.4,1,-----+,1
874ar,P141120848.sdf,C[C@](CNC(=O)CCOc1ccc(cc1)OC)(C(=O)[O-])O,0.424,0.08,296.3,-0.92,2,7,107.9,8,0.64,1,------,0
875ar,P140373464.sdf,c1cc(nc(c1NCC(=O)N(CCC#N)CCC#N)C(=O)N)Cl,0.152,0.02,334.8,0.9,3,8,135.9,8,0.68,0,------,0
876ar,P140191412.sdf,C(CS(=O)(=O)CCSc1nnnn1CC[NH3+])C(=O)N,0.576,0.02,309.4,-2.7,5,9,148.5,9,0.47,0,--+--+,2
877ar,P139843196.sdf,CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](C(C)C)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)[NH3+],0.091,0.13,616.8,-3.71,14,15,264.1,21,0.06,6,--++++,4
878ar,P139606985.sdf,CCS(=O)(=O)NCCCNS(=O)(=O)c1ccc(cc1[N-]S(=O)(=O)CC)OC,0.394,0.07,442.6,0.66,2,10,149.8,12,0.45,0,---+++,3
879ar,P139534438.sdf,CCCc1ccc(cc1)O[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)OC(=O)CC(C)C)O)O)O,0.545,0.24,544.6,-0.76,6,12,184.6,11,0.19,10,--++++,4
880ar,P139528408.sdf,CN(CCCOCCOCCOCC(=O)N)C(=O)CCCC[C@@H]1[C@H]([C@@H](CS1)[NH3+])N,0.303,0.02,435.6,-1.02,7,9,144.8,17,0.25,3,--+-++,3
881ar,P139528393.sdf,CO[C@H](COCCOCCOCCCNC(=O)CCCC[C@H]1[C@@H]([C@@H](CS1)[NH3+])N)O,0.727,0,438.6,-0.88,7,9,139.9,18,0.16,4,--+-++,3
882ar,P139528374.sdf,CO[C@@H](COCCOCCOCCCNC(=O)CCCC[C@@H]1[C@@H]([C@@H](CS1)[NH3+])N)O,0.273,0.05,438.6,-0.88,7,9,139.9,18,0.16,4,--+-++,3
883ar,P139399710.sdf,CN(CC(=O)NC(=O)NCCOC)[C@@H]1CCCC[C@@H]1C[NH3+],0.212,0.07,301.4,-0.81,5,7,98.3,7,0.54,2,--+---,1
884ar,P139343056.sdf,CCNC(=O)[C@H]1CNCCN1CC(=O)NCCCC(=O)[O-],0.636,0.1,299.4,-2.96,3,8,113.6,8,0.41,1,-----+,1
885ar,P139274302.sdf,Cc1c(c([nH]n1)S(=O)(=O)NCC(C2CC2)C3CC3)C[NH3+],0,0.09,299.4,0.17,5,6,102.5,7,0.67,0,--+---,1
886ar,P139236098.sdf,CCCC[C@H](C)NS(=O)(=O)c1c(n[nH]c1C[NH3+])C,0.212,0.01,275.4,0.32,5,6,102.5,7,0.67,1,--+---,1
887ar,P139194597.sdf,CCCCC[C@@H](C)NS(=O)(=O)c1c(c[nH]n1)C[NH3+],0.303,0.07,275.4,0.4,5,6,102.5,8,0.6,1,--+---,1
888ar,P138862376.sdf,CN(CCC(=O)OC)S(=O)(=O)[N-]c1ccccc1C(=O)N,0.394,0.01,314.3,0.53,2,8,120.9,7,0.74,0,------,0
889ar,P138675551.sdf,COCCNC(=O)NC(=O)CN1CC[NH2+]C[C@H]1C(=O)[O-],0.182,0.1,288.3,-4.54,4,9,127.4,6,0.42,1,-----+,1
890ar,P138371933.sdf,C([C@H]([C@@H]([C@@H]([C@@H]([C@H](O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O)O,0.667,0.22,360.3,-6.6,10,12,228.6,12,0.12,9,--++++,4
891ar,P138371800.sdf,CC(=O)N[C@@H]1[C@@H]([C@@H]([C@H](O[C@H]1OCCSCCC(=O)OC)CO)O[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O)O)O)O,0.424,0.24,529.6,-3.93,7,14,213.7,12,0.09,10,--++++,4
892ar,P138371797.sdf,CC(=O)N[C@H]1[C@@H]([C@@H]([C@H](O[C@H]1OCCSCCC(=O)OC)CO)O[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O)O)O)O,0.606,0.24,529.6,-3.93,7,14,213.7,12,0.09,10,--++++,4
893ar,P138368666.sdf,C([C@@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@@H](C=O)O)O)O)O)O)O,0.515,0.23,342.3,-5.55,8,11,197.4,8,0.2,9,--++-+,3
894ar,P137501105.sdf,CCCOCCOC(=O)c1c(c(n[nH]1)CC)S(=O)(=O)[NH-],0.061,0.12,304.3,1.3,2,8,122.2,8,0.57,0,------,0
895ar,P137435382.sdf,C[C@H](CC[NH+](C)C)Nc1cc(nc(n1)SC)NN,0.667,0,271.4,-0.18,5,6,80.3,7,0.24,1,--+--+,2
896ar,P13731450.sdf,CCCn1c(c(c(=O)[nH]c1=O)N(CCOC)C(=O)CCC(=O)NCc2[nH]c3ccccc3n2)N,0.061,0.06,471.5,0.48,5,12,168.2,11,0.32,0,--++++,4
897ar,P13704083.sdf,c1cc(ccc1Cc2ccc(cc2)S(=O)(=O)N(CCO)CCO)S(=O)(=O)N(CCO)CCO,0.121,0.06,502.6,-0.77,4,10,155.7,14,0.26,0,---+++,3
898ar,P137017869.sdf,CC(C)(CC[NH2+]CCCCn1ccnc1)/C(=N/O)/N,0.182,0,268.4,0.39,5,6,93,9,0.2,0,--+--+,2
899ar,P136908702.sdf,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OS(=O)(=O)[O-])O)CO)O)NC(=O)C)O)O)O,0.545,0.23,608.5,-6.92,9,19,303.5,9,0.09,15,--++-+,3
900ar,P136908689.sdf,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OS(=O)(=O)[O-])O)CO)O)NC(=O)C)O)O)O,0.273,0.26,608.5,-6.92,9,19,303.5,9,0.09,15,--++-+,3
901as,P136907416.sdf,c1cn(c(=O)nc1N)[C@H]2C[C@@H]([C@H](O2)CO)O[P@@](=O)([O-])OC[C@@H]3[C@H](C[C@@H](O3)n4cnc5c4nc([nH]c5=O)N)O,0.152,0.23,555.4,-2.66,7,18,268,8,0.18,7,--++-+,3
902as,P136887460.sdf,CC1(c2cc(ccc2C=c3c1cc4=[N+](CCCc4c3)CCCC(=O)NCCCCCNC(=O)CCCC[C@@H]5[C@@H]6[C@@H](CS5)NC(=O)N6)[NH+](C)C)C,0.455,0.06,703,2.28,5,9,106.8,16,0.11,3,--+-++,3
903as,P135972617.sdf,C([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H](C(=O)C[O-])O)O)O)O)O,0.152,0.23,341.3,-6.18,7,11,200.2,8,0.22,8,--++-+,3
904as,P135968825.sdf,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,0.152,0.23,344.3,-5.76,9,11,200.5,8,0.2,9,--++-+,3
905as,P13564029.sdf,c1cc(ccc1OC[C@@H](C[NH+]2CCC(CC2)C(=O)N)O)OC[C@H](C[NH+]3CCC(CC3)C(=O)N)O,0.242,0.01,480.6,-3.27,8,10,154,12,0.18,2,--++++,4
906as,P13564027.sdf,c1cc(ccc1OC[C@@H](C[NH+]2CCC(CC2)C(=O)N)O)OC[C@@H](C[NH+]3CCC(CC3)C(=O)N)O,0.242,0.02,480.6,-3.27,8,10,154,12,0.18,2,--++++,4
907as,P134756337.sdf,c1cn(c(=O)nc1SSc2ccn(c(=O)n2)[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O)[C@@H]4[C@@H]([C@@H]([C@@H](O4)CO)O)O,0.545,0.272,518.5,-3.18,6,14,209.6,7,0.16,8,--++-+,3
908as,P134748881.sdf,C[S@](=O)/C=C/CC/C(=N\OS(=O)(=O)[O-])/S[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O,0.242,0.24,434.5,-2.02,4,11,186,8,0.11,6,---+-+,2
909as,P134647973.sdf,c1ccc2c(c1)c(c[nH]2)[C@H](C(=O)N[C@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H](CCCC[NH3+])N,0.818,0.2,447.6,-2.29,11,10,195.4,14,0.18,3,--++++,4
910as,P134647967.sdf,c1ccc2c(c1)c(c[nH]2)[C@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H](CCCC[NH3+])N,0.364,0.19,447.6,-2.29,11,10,195.4,14,0.18,3,--++++,4
911as,P13463096.sdf,CNC(=S)NNC(=O)[C@H]([C@@H](C(=O)NNC(=S)NC)O)O,0.303,0.2,324.4,-4.04,8,10,146.8,3,0.19,2,--++-+,3
912as,P13457000.sdf,Cc1c2ccc(cc2oc(=O)c1CC(=O)N(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)OCC(=C)C,0.394,0.21,465.5,-0.51,5,10,160.9,11,0.22,4,--++++,4
913as,P134510572.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.03,0.22,698.8,-0.75,8,14,225.1,7,0.12,18,--++-+,3
914as,P134510554.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)C=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.061,0.21,728.8,-2.45,9,16,262.4,7,0.07,19,--++-+,3
915as,P134494966.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)CO)O)O)O[C@@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.182,0.24,698.8,-0.75,8,14,225.1,7,0.12,18,--++-+,3
916as,P134494952.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0,0.21,712.8,-1.43,8,15,242.1,7,0.09,18,--++-+,3
917as,P134494947.sdf,C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O[C@@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.455,0.24,712.8,-1.43,8,15,242.1,7,0.09,18,--++-+,3
918as,P134488812.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)O[C@@H]2C=C([C@@H]3[C@H]2C=CO[C@H]3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)CO)OC(=O)/C=C/c5ccc(cc5)OC)OC(=O)C)O,0.333,0.25,694.7,-1.11,6,16,229.4,11,0.09,14,--++++,4
919as,P134484814.sdf,COc1cc2c(cc1OC)OC[C@H]3[C@H]2C(=O)c4ccc5c(c4O3)C[C@@H](O5)C(=C)CO[C@@H]6[C@@H]([C@@H]([C@@H]([C@@H](O6)CO[C@@H]7[C@@H]([C@@H]([C@@H](CO7)O)O)O)O)O)O,0.303,0.23,704.7,-1.04,6,16,221.5,9,0.17,12,--++-+,3
920as,P134484797.sdf,COc1cc2c(cc1OC)OC[C@H]3[C@@H]2C(=O)c4ccc5c(c4O3)C[C@@H](O5)C(=C)CO[C@@H]6[C@@H]([C@@H]([C@@H]([C@@H](O6)CO[C@@H]7[C@@H]([C@@H]([C@@H](CO7)O)O)O)O)O)O,0.576,0.24,704.7,-1.04,6,16,221.5,9,0.17,12,--++-+,3
921as,P134479971.sdf,CCCC12CN3CC(C1=O)(CN(C2)C3[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CCC,0,0.23,386.5,-1.46,5,8,124.7,9,0.33,4,--+--+,2
922as,P134471304.sdf,CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,0.182,0.618,855.1,-1.98,13,20,338.2,26,0.03,7,--++++,4
923as,P134471292.sdf,CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,0.364,0.793,855.1,-1.98,13,20,338.2,26,0.03,7,--++++,4
924as,P134470556.sdf,CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)[NH3+],0.424,0.6,856.1,-2.69,14,20,339.8,26,0.03,7,--++++,4
925as,P134470543.sdf,CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)[NH3+],0.242,0.615,856.1,-2.69,14,20,339.8,26,0.03,7,--++++,4
926as,P134455299.sdf,c1[nH]nc(n1)CCCNC(=O)N[C@@]2(CCOC2)C(=O)[O-],0.303,0.01,282.3,-2.05,3,9,132.1,6,0.51,1,------,0
927as,P13412552.sdf,c1[nH]c(=O)c2c(n1)n(c(n2)NCCCCCC[NH3+])[C@@H]3[C@H]([C@@H]([C@@H](O3)CO)O)O,0.333,0.24,383.4,-2.05,8,11,173.2,9,0.27,4,--++-+,3
928as,P134061404.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/c3ccc(c(c3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCc5ccc(c(c5)O)O)O)O)O)O,0.03,0.296,756.7,-2.55,11,19,304.2,13,0.06,13,--++++,4
929as,P134000531.sdf,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)CO)O)O)O)O,0.576,0.23,504.4,-7.73,11,16,276.5,11,0.12,14,--++++,4
930as,P133972913.sdf,C([C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]([C@@H]([C@@H](CO)O)O)C(=O)C[O-])O)O)O)O,0.121,0.22,341.3,-6.18,7,11,200.2,8,0.22,8,--++-+,3
