nwname,fname,smile,CHA score,CCA score
593al,P156200346.sdf,CC(C)C[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)N,0.455,0.22
594al,P156200344.sdf,CC(C)C[C@@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)N,0.333,0.22
595al,P156200342.sdf,CC(C)C[C@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)N,0.394,0.23
596al,P156200340.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)N,0.091,0.23
597al,P156200249.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH]cn4)NC(=O)C(C)C,0.091,0.24
598al,P156200248.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)C(C)C,0.242,0.24
599al,P156200247.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH+]c[nH]4)NC(=O)C(C)C,0.697,0.24
600al,P156200246.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH+]c[nH]4)NC(=O)C(C)C,0.545,0.22
601am,P156200245.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH]cn4)NC(=O)C(C)C,0.394,0.21
602am,P156200244.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH]cn4)NC(=O)C(C)C,0.03,0.23
603am,P156200243.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)C(C)C,0.121,0.23
604am,P156200236.sdf,CC(C)C[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)[NH3+],0.273,0.24
605am,P156200234.sdf,CC(C)C[C@@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)[NH3+],0.636,0.24
606am,P156200232.sdf,CC(C)C[C@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)[NH3+],0.152,0.27
607am,P156200230.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)[O-])NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc4c[nH]c5c4cccc5)[NH3+],0.364,0.24
608am,P156200220.sdf,C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1c[nH+]c[nH]1)NC(=O)[C@H](CSC)NC(=O)CNC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2c3ccc(cc3[N+](=O)[O-])[N+](=O)[O-],0,0.24
609am,P156200219.sdf,C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CSC)NC(=O)CNC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2c3ccc(cc3[N+](=O)[O-])[N+](=O)[O-],0.303,0.24
610am,P156200218.sdf,C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1c[nH+]c[nH]1)NC(=O)[C@H](CSC)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2c3ccc(cc3[N+](=O)[O-])[N+](=O)[O-],0.848,0.24
611am,P156200217.sdf,C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CSC)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2c3ccc(cc3[N+](=O)[O-])[N+](=O)[O-],0.182,0.23
612am,P156200199.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.061,0.23
613am,P156200198.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.212,0.25
614am,P156200197.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0,0.23
615am,P156200196.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.364,0.24
616am,P156200162.sdf,C[C@H]([C@@H](C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)CN)O,0.091,0.24
617am,P156200161.sdf,C[C@@H]([C@@H](C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)CN)O,0.818,0.22
618am,P156200132.sdf,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]4CCC(=O)N4)O,0.424,0.23
619am,P156200131.sdf,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCC(=O)N4)O,0.333,0.24
620am,P156200130.sdf,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]4CCC(=O)N4)O,0.091,0.25
621am,P156200129.sdf,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCC(=O)N4)O,0.545,0.24
622am,P156200042.sdf,CC(C)C[C@H](C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H]2CCC(=O)N2,0.879,0.18
623am,P156200041.sdf,CC(C)C[C@@H](C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H]2CCC(=O)N2,0.545,0.25
624am,P156200040.sdf,CC(C)C[C@H](C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H]2CCC(=O)N2,0.091,0.23
625am,P156200039.sdf,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H]2CCC(=O)N2,0.455,0.21
626am,P156200015.sdf,Cc1cn(c(=O)[nH]c1=O)[C@H]2C[C@H]([C@@H](O2)CO)O[P@@](=O)([O-])OC[C@@H]3[C@@H](C[C@@H](O3)n4ccc(nc4=O)N)O,0.303,0.26
627am,P156200000.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)C(C)C,0.394,0.22
628am,P156199964.sdf,C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc1ccc2c(cc(=O)oc2c1)C(F)(F)F)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](C(C)C)NC(=O)C,0.273,0.2
629am,P156199911.sdf,C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CSC)NC(=O)CNC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2c3ccc(cc3[N+](=O)[O-])[N+](=O)[O-],0.242,0.23
630am,P156199910.sdf,C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CSC)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2c3ccc(cc3[N+](=O)[O-])[N+](=O)[O-],0.182,0.23
631am,P156199784.sdf,C[C@H]([C@@H](C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)C[NH3+])O,0.848,0.24
632am,P156199783.sdf,C[C@@H]([C@@H](C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)C[NH3+])O,0.212,0.22
633am,P156195487.sdf,CC(=O)ON[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)NC(=[NH2+])N,0.303,0.22
634am,P156195177.sdf,c1ccc(c(c1)CN(Cc2ccccc2/C(=N\O)/N)c3ccc(cc3)/C(=[NH+]\O)/N)/C(=[NH+]/O)/N,0.485,0.1
635am,P156193945.sdf,C[C@@H](C(=O)[O-])NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)CNC,0.394,0.23
636am,P15616544.sdf,Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCC(=O)[O-])C[C@@H](COc3ccccc3)O,0.212,0.19
637am,P156127307.sdf,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O,0.394,0.23
638am,P156117699.sdf,c1c(cc(cc1C(=O)/C=N/NC(=O)N)C(=O)/C=N\NC(=O)N)C(=O)/C=N\NC(=O)N,0.091,0.198
639am,P155915140.sdf,C1CCC(CC1)CCCCO[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.667,0.23
640am,P155915139.sdf,C1CCC(CC1)CCCCO[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.636,0.24
641am,P155912483.sdf,C(CNC(=O)[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)NC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,0.364,0.25
642am,P155912481.sdf,C(CNC(=O)[C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)NC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,0.061,0.25
643am,P155911727.sdf,C(CCCNC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)CCNC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,0.515,0.25
644am,P155910632.sdf,c1ccc(c(c1)NC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)NC(=O)[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.424,0.24
645am,P155910629.sdf,c1ccc(c(c1)NC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)NC(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,0.303,0.25
646am,P155909467.sdf,CC(C)(C)OC(=O)C(C[C@@H](C(=O)[O-])N)(C(=O)OC(C)(C)C)SSCC[C@H](C(=O)[O-])N,0.091,0
647am,P155909320.sdf,CC(C)(C)OC(=O)C(C[C@H](C(=O)[O-])[NH3+])(C(=O)OC(C)(C)C)SSCC[C@H](C(=O)[O-])[NH3+],0.242,0.06
648am,P155909319.sdf,CC(C)(C)OC(=O)C(C[C@@H](C(=O)[O-])[NH3+])(C(=O)OC(C)(C)C)SSCC[C@H](C(=O)[O-])[NH3+],0.061,0.05
649am,P155909318.sdf,CC(C)(C)OC(=O)C(C[C@H](C(=O)[O-])[NH3+])(C(=O)OC(C)(C)C)SSCC[C@@H](C(=O)[O-])[NH3+],0.242,0.05
650am,P155908235.sdf,CN1CN(c2c1c(=O)[nH]c(n2)N)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO[P@@](=O)([O-])O[P@@](=O)(O)[O-])O)O,0.152,0.18
651an,P155907741.sdf,CCCCCCO[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)CO)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O,0.242,0.23
652an,P155907740.sdf,CCCCCCO[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O,0.273,0.23
653an,P155906504.sdf,C1CCC(CC1)CCCCCCCO[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.242,0.24
654an,P155905194.sdf,CCOc1ccc(cc1)N2C(=O)/C(=C\NC(C)(CO)CO)/C(=O)NC2=O,0.303,0.15
655an,P155899735.sdf,Cc1ccc(cc1C)N(C[C@@H]([C@@H]([C@@H](CO)O)O)O)/N=N/c2cccc(c2)S(=O)(=O)[O-],0.242,0.21
656an,P155794829.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)N,0,0.23
657an,P155794828.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)N,0.545,0.22
658an,P155794827.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)N,0.394,0.21
659an,P155794826.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)N,0.182,0.23
660an,P155794820.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)[NH3+],0.455,0.23
661an,P155794819.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)[NH3+],0.485,0.24
662an,P155794818.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)[NH3+],0.364,0.22
663an,P155794817.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)[NH3+],0.394,0.22
664an,P155794816.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)[NH3+],0.212,0.24
665an,P155794790.sdf,CC(C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)[NH3+],0.091,0.22
666an,P155794595.sdf,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N)NC(=O)CNC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](C(C)C)N,0.273,0.17
667an,P155794498.sdf,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N)NC(=O)CNC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](C(C)C)[NH3+],0.364,0.22
668an,P155794486.sdf,C[C@H](CCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-])[C@@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,0.091,0.02
669an,P155774519.sdf,CCCCOC(=O)[C@](CC[NH+]=C(N)N)(C(=O)[C@H](Cc1ccccc1)[NH3+])[C@@](C(=O)[C@@H]2CCC[NH2+]2)(C(=O)[O-])N,0.091,0.21
670an,P155774518.sdf,CCCCOC(=O)[C@@](CC[NH+]=C(N)N)(C(=O)[C@H](Cc1ccccc1)[NH3+])[C@@](C(=O)[C@@H]2CCC[NH2+]2)(C(=O)[O-])N,0.273,0.21
671an,P155774516.sdf,CCCCOC(=O)[C@@](CC[NH+]=C(N)N)(C(=O)[C@@H](Cc1ccccc1)[NH3+])[C@@](C(=O)[C@@H]2CCC[NH2+]2)(C(=O)[O-])N,0.091,0.21
672an,P155774493.sdf,CCCCOC(=O)[C@](CC[NH+]=C(N)N)(C(=O)[C@H](Cc1ccccc1)N)[C@@](C(=O)[C@@H]2CCCN2)(C(=O)[O-])N,0.152,0.22
673an,P155774490.sdf,CCCCOC(=O)[C@@](CC[NH+]=C(N)N)(C(=O)[C@@H](Cc1ccccc1)N)[C@@](C(=O)[C@@H]2CCCN2)(C(=O)[O-])N,0.394,0.21
674an,P155774399.sdf,CCCCOC(=O)[C@@](CC[NH+]=C(N)N)(C(=O)[C@@H](Cc1ccccc1)N)[C@@](C(=O)[C@@H]2CCC[NH2+]2)(C(=O)[O-])N,0.091,0.23
675an,P155770702.sdf,c1c(c(=O)[nH]c(=O)n1[C@@H]2[C@H]([C@@H]([C@@H](O2)O[P@@](=O)(C[P@@](=O)(CP(=O)([O-])[O-])[O-])[O-])O)O)/C=C/C[NH3+],0.303,0.258
676an,P155770701.sdf,c1c(c(=O)[nH]c(=O)n1[C@H]2[C@@H]([C@@H]([C@@H](O2)O[P@@](=O)(C[P@@](=O)(CP(=O)([O-])[O-])[O-])[O-])O)O)/C=C/C[NH3+],0.545,0.223
677an,P155770700.sdf,c1c(c(=O)[nH]c(=O)n1[C@@H]2[C@@H]([C@@H]([C@@H](O2)O[P@@](=O)(C[P@@](=O)(CP(=O)([O-])[O-])[O-])[O-])O)O)/C=C/C[NH3+],0.091,0.21
678an,P155770397.sdf,c1c(c(=O)[nH]c(=O)n1[C@@H]2[C@H]([C@@H]([C@@H](O2)O[P@@](=O)(C[P@@](=O)(C[P@](=O)(O)[O-])[O-])[O-])O)O)/C=C/C[NH3+],0.636,0.24
679an,P155770396.sdf,c1c(c(=O)[nH]c(=O)n1[C@H]2[C@@H]([C@@H]([C@@H](O2)O[P@@](=O)(C[P@@](=O)(C[P@](=O)(O)[O-])[O-])[O-])O)O)/C=C/C[NH3+],0.545,0.24
680an,P155770395.sdf,c1c(c(=O)[nH]c(=O)n1[C@@H]2[C@@H]([C@@H]([C@@H](O2)O[P@@](=O)(C[P@@](=O)(C[P@](=O)(O)[O-])[O-])[O-])O)O)/C=C/C[NH3+],0.091,0.25
681an,P155770154.sdf,C(CC(=O)N(CC(=O)[O-])C(=O)[C@H](CS[C@@H](CC(=O)O)C(=O)[O-])[NH3+])[C@@H](C(=O)[O-])[NH3+],0.242,0.09
682an,P155770079.sdf,c1ccc(cc1)C[C@H](C(=O)[C@H](CC[NH+]=C(N)N)[C@@](C(=O)[C@@H](CCC[NH+]=C(N)N)N)(C(=O)[O-])N)N,0.273,0.22
683an,P155770070.sdf,c1ccc(cc1)C[C@@H](C(=O)[C@@H](CC[NH+]=C(N)N)[C@@](C(=O)[C@@H](CCC[NH+]=C(N)N)N)(C(=O)[O-])N)N,0.758,0.23
684an,P155769408.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@@H](CCC[NH+]=C(N)N)NC(=O)[C@H](CCC[NH+]=C(N)N)N,0.606,0.12
685an,P155769406.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@@H](CCC[NH+]=C(N)N)NC(=O)[C@@H](CCC[NH+]=C(N)N)N,0.333,0.1
686an,P155769204.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@@H](CCC[NH+]=C(N)N)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+],0.848,0.06
687an,P155768645.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.485,0.24
688an,P155768643.sdf,C[C@@](CC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.394,0.24
689an,P155768641.sdf,C[C@](CC(=O)[C@@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.697,0.22
690an,P155768639.sdf,C[C@@](CC(=O)[C@@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.394,0.2
691an,P155768571.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)N)(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.303,0.23
692an,P155768570.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)N)(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.182,0.24
693an,P155768569.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)N)(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.576,0.23
694an,P155768568.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)N)(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.242,0.24
695an,P155768567.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.364,0.26
696an,P155768566.sdf,C[C@@](CC(=O)[C@H](CCC[NH+]=C(N)N)N)(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.424,0.23
