nwname,fname,smile,CHA score,CCA score
527ak,P156223762.sdf,COC(=O)c1cc(c(nc1C/C(=N\NC(=S)N)/C(=O)Nc2ccc(c(c2)Cl)Cl)C/C(=N/NC(=S)N)/C(=N/c3ccc(c(c3)Cl)Cl)/[O-])C(=O)OC,0.455,0.23
528ak,P156217390.sdf,CCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,0.879,0.23
529ak,P156217389.sdf,CCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,0.152,0.22
530ak,P156217307.sdf,c1cc(c(cc1[N+](=O)[O-])Cl)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O,0.364,0.26
531ak,P156217277.sdf,CCCC(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,0.818,0.24
532ak,P156214328.sdf,C[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)O[C@@H]3CC[C@@]4([C@@H]5CC[C@@]6([C@@H](CC[C@@]6([C@@H]5CC[C@@]4(C3)O)O)C7=CC(=O)OC7)C)C=O)O)O)O)OC)OC)O,0.303,0.24
533ak,P156214326.sdf,C[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)O[C@@H]3CC[C@@]4([C@@H]5CC[C@@]6([C@@H](CC[C@@]6([C@@H]5CC[C@@]4(C3)O)O)C7=CC(=O)OC7)C)C=O)O)O)O)OC)OC)O,0.091,0.21
534ak,P156214325.sdf,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)O[C@@H]3CC[C@@]4([C@@H]5CC[C@@]6([C@@H](CC[C@@]6([C@@H]5CC[C@@]4(C3)O)O)C7=CC(=O)OC7)C)C=O)O)O)O)OC)OC)O,0.333,0.23
535ak,P156213525.sdf,c1c(cc(c-2c1C(=O)c3c2c(cc(c3)S(=O)(=O)NCCCO)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)NCCCO,0.636,0.11
536ak,P156212746.sdf,C[C@H](CCC(=O)N(CCCNC(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CCCNC(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,0.091,0.23
537ak,P156212576.sdf,CC(=O)OC/C(=N\NC(=O)N)/[C@]1(CC[C@H]2[C@@]1(CC[C@@H]3[C@@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)C)C)O,0,0.14
538ak,P156212575.sdf,CC(=O)OC/C(=N\NC(=O)N)/[C@]1(CC[C@@H]2[C@@]1(CC[C@@H]3[C@@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)C)C)O,0.424,0.08
539ak,P156212569.sdf,CC(=O)O[C@@H]1CC[C@@]2([C@H](C1)CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@@H]4/C(=N\NC(=O)N)/CO[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)C)O)C,0.364,0.16
540ak,P156212568.sdf,CC(=O)O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@@H]4/C(=N\NC(=O)N)/CO[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)C)O)C,0.061,0.11
541ak,P156212567.sdf,CC(=O)O[C@@H]1CC[C@@]2([C@@H](C1)CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@@H]4/C(=N\NC(=O)N)/CO[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)C)O)C,0.121,0.15
542ak,P156210206.sdf,CC1(c2cc3c(cc2C=C4C1=CC(=[N+](C)C)C=C4)CCC[NH+]3CCCC(=O)NCCCCCNC(=O)CCCC[C@H]5[C@@H]6[C@@H](CS5)NC(=O)N6)C,0.061,0.14
543ak,P156210204.sdf,CC[N+]1=c2cc3c(=[NH+]c4cc5c(cc4O3)[NH+](C(C=C5CS(=O)(=O)[O-])(C)C)CCCC(=O)NCCCCCNC(=O)CCCC[C@H]6[C@@H]7[C@H](CS6)NC(=O)N7)cc2CCC1,0.606,0.35
544ak,P156210203.sdf,CC[N+]1=c2cc3c(=[NH+]c4cc5c(cc4O3)[NH+](C(C=C5CS(=O)(=O)[O-])(C)C)CCCC(=O)NCCCCCNC(=O)CCCC[C@@H]6[C@@H]7[C@H](CS6)NC(=O)N7)cc2CCC1,0.152,0.32
545ak,P156210173.sdf,CCCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,0.394,0.24
