DHT,seqid
29.6089,465
23.7805,466
40.2439,467
30.5556,468
24.1722,469
31.2329,470
23.1959,471
25,472
25.8621,473
34.6154,474
31.982,475
23.6742,476
28.8462,477
26.1084,478
18.8917,479
24.8538,480
28.6486,481
24.8503,482
32.3326,483
28.9941,484
29.8643,485
37.4656,486
30.7359,487
34.7418,488
20.9169,489
24.4576,490
17.6849,491
49.5726,492
37.1429,493
29.7619,494
33.3333,495
32.7434,496
34.2857,497
34.2105,498
24.812,499
29.4017,500
29.3051,501
28.3019,502
12.8814,503
29.5019,504
28.9091,505
32.2148,506
26.2774,507
42.4051,508
23.127,509
29.9465,510
33.1081,511
26.6082,512
31.2039,513
20.5805,514
41.6667,515
22.0588,516
33.8279,517
21.9697,518
34.4891,519
45.4054,520
30.303,521
30.7018,522
22.9391,523
28.4722,524
22.1902,525
32.4074,526
22.9299,527
23.913,528
27.957,529
35.0679,530
40.1639,531
30.719,532
34.8624,533
15.6313,534
29.0503,535
25,536
36.3636,537
20.9184,538
29.2208,539
30.9904,540
10.2719,541
33.7423,542
23.1511,543
33.6347,544
11.9048,545
17.8571,546
32.6203,547
25.9067,548
31.3043,549
24.3137,550
29.3233,551
44.5455,552
22.5989,553
37.0588,554
25.5319,555
33.7313,556
28.0899,557
25,558
42,559
24.3182,560
25.3012,561
36.4008,562
18.705,563
36.2832,564
40.2439,565
34.375,566
28.6822,567
26.6958,568
22.4344,569
35.4167,570
34.2412,571
32.715,572
35.443,573
34.5622,574
27.9412,575
22.9399,576
27.896,577
45.657,578
38.9744,579
41.8994,580
38.9706,581
20.5128,582
20.5634,583
33.6957,584
26.9006,585
30.9434,586
19.8413,587
32.8918,588
31.0044,589
30.0885,590
32.5758,591
29.0727,592
35.4098,593
24.5675,594
25.1412,595
26.5774,596
33.9658,597
34.6512,598
35.2113,599
30.7377,600
31.6176,601
27.6364,602
24.5714,603
17.1053,604
25,605
40,606
35.3952,607
28.1369,608
31.25,609
24.8428,610
28.6232,611
30.411,612
34.7305,613
30.2326,614
23.4694,615
37.2414,616
40.3226,617
36.3934,618
31.0526,619
30.695,620
35.396,621
34.5538,622
30.4762,623
32.7586,624
43.6975,625
23.7838,626
22.8164,627
31.9549,628
28.1646,629
33.9286,630
41.8719,631
31.856,632
35.6164,633
43.617,634
32.4324,635
27.4194,636
32.2835,637
29.5285,638
27.0758,639
21.0953,640
31.3625,641
28.8732,642
32.4074,643
38.2872,644
15.407,645
23.8281,646
39.4584,647
26.8293,648
32.6667,649
36.2637,650
25.8964,651
36.5079,652
24.6445,653
41.0628,654
31.3351,655
22.4742,656
30.9417,657
39.895,658
21.1594,659
17.9272,660
33.612,661
35.5091,662
31.746,663
32.0628,664
31.6547,665
35.0719,666
24.7387,667
12.7451,668
30.3571,669
17.0732,670
39.4077,671
36.7725,672
23.6577,673
43.662,674
45.1777,675
21.7105,676
