*-*-*-*-*-*-*-*-kojic_acid*-*-*-*-*-*-*-*-
Conformer optimized successfully,if coverage_state equal 0. 
coverage_state,conformer_energy
0,30.83374652027788
0,29.873235326246952
0,29.873235297380663
0,20.510512716835187
0,30.128096364944717
0,31.218360637088132
0,20.51051272500453
0,20.510512717855914
0,30.833746517698366
0,30.12809628140911
0,30.841591551060453
0,30.833746516644133
0,30.833746516205835
0,22.25315286388711
0,31.218360644051693
0,30.833746518684
0,20.51051271720619
0,29.873235326265977
0,20.510512718314825
0,20.445184180739616
0,30.833746517287594
0,30.833746521682205
0,29.873235293227335
0,20.51051271748061
0,21.447367227337867
0,29.873235297265488
0,30.83374652001923
0,30.841591541244917
0,21.447367225980337
0,30.841591540829327
0,30.8415915755769
0,29.873235290720974
0,30.841591566797653
0,20.51051272704887
0,20.5105127186419
0,30.12809628330893
0,29.873235290285784
0,29.873235290046168
0,30.841591542926604
0,20.510512717604612
0,31.218360637150305
0,29.873235348730518
0,20.510512723170123
0,30.84159156519142
0,31.21836064291516
0,30.833746530723182
0,20.510512721804645
0,29.873235292040924
0,29.873235300878193
0,31.218360645910415
0,30.84159154713663
0,22.253152865643102
0,31.218360637083542
0,29.87323528781116
0,29.873235291953947
0,31.218360639664304
0,29.873235294488982
0,29.873235292677506
0,20.510512716157677
0,22.25315286386583
0,30.841591720932463
0,30.84159154419695
0,20.510512716880925
0,31.21836064982943
0,20.510512719086027
0,30.833746524789646
0,20.51051280465555
0,20.510512718044318
0,20.51051271801525
0,30.128096284732973
0,20.510512724857477
0,20.510512714781093
0,20.510512714715567
0,29.87323529216901
0,30.833746524830822
0,21.447367226172325
0,20.510512721989038
0,29.873235292220947
0,20.510512718001515
0,20.510512716087973
0,29.873235289427804
0,30.12809628021187
0,20.510512714263218
0,20.510512714087625
0,29.87323529021498
0,20.510512716490656
0,20.510512721122428
0,20.510512716647046
0,29.873235291683244
0,20.510512717176947
0,20.510512715521443
0,30.83374652146138
0,29.87323529145035
0,21.44736722618245
0,29.873235294758217
0,29.8732353007895
0,20.445184180724723
0,29.873235305263876
0,31.2183606368783
0,29.873235298421314
0,30.12809629577386
0,21.447367229853626
0,30.833746521838492
0,21.447367228522346
0,20.51051272282607
0,20.510512716208474
0,20.510512715805085
0,30.1280962819075
0,29.873235312945262
0,22.2531528680035
0,30.833746528507355
0,31.21836063920417
0,29.8732352876037
0,30.83374653586123
0,20.510512715058667
0,30.83374653531903
0,30.83374651767613
0,29.873235302607554
0,20.51051272116186
0,20.51051271852962
0,29.87323529408566
0,30.833746537784688
0,20.510512718122136
0,31.218360637141426
0,20.510512714927742
0,20.510512719919923
0,30.841591558995404
0,29.87323531485029
0,29.873235290874945
0,29.873235290231882
0,22.2531528695878
0,22.25315287276505
0,30.841591541635015
0,30.833746516362382
0,30.84159155541358
0,30.84159154237426
0,29.87323528838389
0,30.12809630339811
0,20.510512715631585
0,29.873235294954608
0,21.447367226949936
0,29.873235288375568
0,21.4473672305364
0,30.128096293222093
0,20.510512723868082
0,29.873235302834857
0,29.8732352933413
0,29.87323532975573
0,29.87323530060693
0,31.218360638638835
0,29.873235310068694
0,30.841591543056662
0,29.873235326045524
0,30.83374652126605
0,31.2183606382752
0,30.841591541959957
0,29.87323529312728
0,29.8732352892699
0,22.253152864975434
0,20.51051271760097
0,29.873235288947825
0,22.253152864422024
0,29.873235286655614
0,31.218360637120256
0,20.51051271951097
0,20.51051271704779
0,31.218360638090285
0,30.833746524935407
0,31.218360639605187
0,20.51051272034548
0,31.218360648118804
0,30.83374651789152
0,31.218360637395506
0,29.873235304571175
0,29.873235295107648
0,30.833746515293292
0,30.841591542366643
0,29.873235292877858
0,22.25315286345252
0,20.445184181197444
0,20.51051271681764
0,30.128096282769015
0,30.833746523498434
0,30.12809628060569
0,30.128096282186622
0,30.833746518784764
0,29.873235288198543
0,20.51051272301566
0,29.87323528984475
0,29.873235292250083
0,30.841591541055237
0,21.447367228289856
0,20.51051271801365
0,20.510512719920076
0,21.447367226166406
0,29.87323529216443
0,20.510512716026685
0,30.841591543476206
0,29.873235312216075
0,30.833746519279067

*-*-*-*-*-*-*-*-leonurine*-*-*-*-*-*-*-*-
Conformer optimized successfully,if coverage_state equal 0. 
coverage_state,conformer_energy
0,-96.49568174690546
0,-94.97636939573613
0,-96.4234784367938
0,-95.92877791626628
0,-97.1250647511901
0,-94.21518935577414
0,-96.42347843651017
0,-95.46303363493537
0,-97.7389795412312
0,-95.69095737686956
0,-95.73835382740471
0,-95.44153248211494
0,-95.13306119154213
0,-94.38390519359918
0,-94.21518937074573
0,-93.93858835111723
0,-97.31210892951941
0,-96.23173469884755
0,-95.47284353234694
0,-94.8656375499196
0,-95.32196637327223
0,-97.12617299592779
0,-97.00898787657103
0,-94.97184381826939
0,-95.32196637431053
0,-95.73835382742045
0,-95.01469667731172
0,-97.21686846049944
0,-95.01469667443526
0,-96.66757520657089
0,-94.26275101814518
0,-95.92877791599877
0,-95.9730724046538
0,-95.20597771584502
0,-93.938588341696
0,-94.19738931683473
0,-91.09663912518671
0,-95.25181141372887
0,-96.70941830963278
0,-95.6012595958802
0,-95.93719841322981
0,-95.77584872530299
0,-95.32487513741806
0,-95.69095737153283
0,-96.204610916698
0,-96.8074873871774
0,-95.59291795238987
0,-95.44153248677766
0,-97.14102201856493
0,-94.94966085859153
0,-94.88100745327073
0,-93.93858835203153
0,-95.75689466662187
0,-96.37951485602572
0,-94.52502419424336
0,-94.35636867756614
0,-94.55975292976261
0,-95.75689466697389
0,-97.2708630229672
0,-96.44420898831214
0,-96.44048759977079
0,-96.42319304516268
0,-96.42347843359238
0,-95.59502015212348
0,-96.80748738634848
0,-95.73835381798575
0,-94.71680034180136
0,-94.88100745240281
0,-98.91735917937078
0,-96.08642984695476
0,-97.69694927940705
0,-94.52217077524115
0,-97.46816181748103
0,-96.23739954645288
0,-95.54255154970042
0,-94.19738931520723
0,-95.46303363712771
0,-97.00898787620297
0,-97.34106901138287
0,-96.42347843682083
0,-94.45395675923834
0,-95.46303363691764
0,-95.29360681284456
0,-94.79599903911951
0,-96.10548870746736
0,-97.53794217931066
0,-96.44420905365352
0,-97.17660803118783
0,-97.12871575490767
0,-95.39822994761343
0,-94.19738931854451
0,-94.19738931162456
0,-96.17799738230785
0,-96.42347843594146
0,-93.94711067373079
0,-95.20336625180157
0,-95.75689466666748
0,-96.4404875970057
0,-96.2975468507235
0,-96.41504011228069
0,-95.37455541724131
0,-96.77481453383847
0,-94.26123988775917
0,-96.33839567920047
0,-91.0481292071735
0,-96.29151984492113
0,-93.93858835144343
0,-97.12166393734447
0,-95.92877791578437
0,-98.81431848566255
0,-94.67901219560144
0,-97.30323520335976
0,-94.94966080937716
0,-95.76554603096493
0,-95.32487513597992
0,-93.97782999919255
0,-95.93719841321659
0,-94.8917948853815
0,-97.30323520553979
0,-97.3121089297085
0,-97.14102201907497
0,-94.6407155083285
0,-96.4889149713631
0,-97.03566177464761
0,-94.99474385448333
0,-95.69095737685704
0,-90.98431642864578
0,-94.52217077481903
0,-95.29050287386276
0,-95.32550418877192
0,-94.59493681014388
0,-96.41504010401404
0,-95.60475594331504
0,-96.85804907713754
0,-94.26123988702052
0,-94.6790121955777
0,-96.85307717645547
0,-97.25960464350469
0,-97.10209884031566
0,-96.24771463619379
0,-95.76554604290942
0,-94.59493682096725
0,-95.32196637000631
0,-94.52217077368077
0,-95.738353819333
0,-94.97636939627411
0,-96.49346058042394
0,-94.65996415618115
0,-96.48891497112533
0,-94.67901218085788
0,-96.05974827231724
0,-95.6012595959348
0,-95.93719841295808
0,-95.75689466674689
0,-95.56768491946589
0,-95.95778868043261
0,-96.76267081054594
0,-96.29804403174629
0,-96.11234570310629
0,-94.89179488482516
0,-95.0506642474082
0,-95.3248751379334
0,-96.75019078659436
0,-94.26123988720678
0,-95.60475594304236
0,-95.25181141464739
0,-94.55975293226169
0,-95.01469667811298
0,-95.06104011030396
0,-95.73249539902676
0,-97.10209884185294
0,-96.30371161247703
0,-97.12871575467265
0,-95.94800144048924
0,-95.91165205001107
0,-97.05179050328351
0,-95.60125959552998
0,-95.20551849886151
0,-97.40063449356798
0,-95.93342933560618
0,-94.26123988790984
0,-96.90292902783855
0,-97.18890569233618
0,-95.16942695872004
0,-96.23739954674299
0,-94.35636867786192
0,-96.3122602048716
0,-95.32550418783892
0,-96.42347843685457
0,-95.27638030940936
0,-96.64725476035949
0,-95.93719841311672
0,-97.14102201952292
0,-95.27638030909037
0,-97.12871574786344
0,-97.00772787274398
0,-95.75689466660118
0,-94.19738931814749
0,-96.77210856776995
0,-94.64071552447629

